company_name,company_name_link,zone,category,category_link
AIPCE MILLENNIUM EVENTS MFZE,UFZCompanyDetails.aspx?details=13907,RAKIA,,UFZOnlineDirectory.aspx?cat=
AIR BLAST,UFZCompanyDetails.aspx?details=7711,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AIR CARGO INTEGRATORS (A.C.I) (FZC),UFZCompanyDetails.aspx?details=6239,SAIF-ZONE,AIRCRAFT LEASING & CHARTERING,UFZOnlineDirectory.aspx?cat=AIRCRAFT LEASING & CHARTERING
AIR CARGO TRADER LLC,UFZCompanyDetails.aspx?details=12716,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AIR CHARTER INTERNATIONAL,UFZCompanyDetails.aspx?details=880,JEBEL ALI FREE ZONE,AIR FREIGHT,UFZOnlineDirectory.aspx?cat=AIR FREIGHT
AIR CHARTER SERVICE FZCO,UFZCompanyDetails.aspx?details=7805,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIR CONFLEX INDUSTRY LLC,UFZCompanyDetails.aspx?details=15256,RAKIA,,UFZOnlineDirectory.aspx?cat=
AIR CONTROL MIDDLE EAST FZC,UFZCompanyDetails.aspx?details=6783,HAMRIYAH FREE ZONE,BUILDING & CONSTRUCTION MATERIALS,UFZOnlineDirectory.aspx?cat=BUILDING & CONSTRUCTION MATERIALS
AIR COST CONTROL MIDDLE EAST FZCO,UFZCompanyDetails.aspx?details=12836,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIR FRANCE,UFZCompanyDetails.aspx?details=7735,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AIR FRANCE KLM,UFZCompanyDetails.aspx?details=12735,DUBAI INT. FINANCIAL CENTER,,UFZOnlineDirectory.aspx?cat=
AIR LIQUIDE ENGINEERING MIDDLE EAST,UFZCompanyDetails.aspx?details=6751,RAK FREE TRADE ZONE,ENGINEERING CONSULTANTS,UFZOnlineDirectory.aspx?cat=ENGINEERING CONSULTANTS
AIR LIQUIDE MIDDLE EAST & NORTH AFRICA FZCO,UFZCompanyDetails.aspx?details=11856,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIR LIQUIDE WELDING MIDDLE EAST FZE,UFZCompanyDetails.aspx?details=7856,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AIR LOGISTICS FZCO,UFZCompanyDetails.aspx?details=12911,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIR MASTER INTERNATIONAL (FZC),UFZCompanyDetails.aspx?details=9303,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AIR MASTER INTERNATIONAL (FZC),UFZCompanyDetails.aspx?details=13390,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIR PARTNER PLC (BRANCH),UFZCompanyDetails.aspx?details=11617,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIR PRODUCTS (MIDDLE EAST) FZE,UFZCompanyDetails.aspx?details=719,JEBEL ALI FREE ZONE,CHEMICALS & CHEMICAL PRODUCTS,UFZOnlineDirectory.aspx?cat=CHEMICALS & CHEMICAL PRODUCTS
AIR RETAIL PARTNERS (FZE),UFZCompanyDetails.aspx?details=9304,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIR TOOLS & CONTROLS (FZE),UFZCompanyDetails.aspx?details=15561,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIR VICTORY GEORGIA,UFZCompanyDetails.aspx?details=3389,SAIF-ZONE,AIRCRAFT LEASING & CHARTERING,UFZOnlineDirectory.aspx?cat=AIRCRAFT LEASING & CHARTERING
AIRBIZ CONSULTANTS (FZC),UFZCompanyDetails.aspx?details=13342,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRBORNE SYSTEMS FZE,UFZCompanyDetails.aspx?details=11619,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIRBUS MIDDLE EAST FZE,UFZCompanyDetails.aspx?details=6555,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIRCHEM CONSUMABLES FZCO,UFZCompanyDetails.aspx?details=7857,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AIRCOM FZ-LLC,UFZCompanyDetails.aspx?details=3808,DUBAI INTERNET CITY,NETWORKING SERVICES & SOLUTIONS,UFZOnlineDirectory.aspx?cat=NETWORKING SERVICES & SOLUTIONS
AIRCOMPANY ATMA JSC,UFZCompanyDetails.aspx?details=613,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRCON BEIBARS (FZE),UFZCompanyDetails.aspx?details=9305,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRCONDITIONING & HEATING INTERNATIONAL (FZE),UFZCompanyDetails.aspx?details=9306,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRCONDITIONING & HEATING INTERNATIONAL (FZE),UFZCompanyDetails.aspx?details=6238,SAIF-ZONE,IMPORT / EXPORT,UFZOnlineDirectory.aspx?cat=IMPORT / EXPORT
AIRCRAFT TECHNICAL SUPPORT (BRANCH),UFZCompanyDetails.aspx?details=11654,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIRE INFLIGHT FZE,UFZCompanyDetails.aspx?details=7858,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AIRFREIGHT ENGINEERING (FZE),UFZCompanyDetails.aspx?details=15562,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRLINE CARGO RESOURCES FZCO,UFZCompanyDetails.aspx?details=6562,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AIRLINE TRANSPORT INCORPORATION (FZE),UFZCompanyDetails.aspx?details=15563,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRLINK INTERNATIONAL U.A.E,UFZCompanyDetails.aspx?details=4601,DUBAI INTERNET CITY,,UFZOnlineDirectory.aspx?cat=
AIRLINK INTERNATIONAL UAE,UFZCompanyDetails.aspx?details=636,JEBEL ALI FREE ZONE,CLEARING & FORWARDING,UFZOnlineDirectory.aspx?cat=CLEARING & FORWARDING
AIRLINK INTERNATIONAL UAE,UFZCompanyDetails.aspx?details=637,JEBEL ALI FREE ZONE,CLEARING & FORWARDING,UFZOnlineDirectory.aspx?cat=CLEARING & FORWARDING
AIRO AVIATION FZ LLC,UFZCompanyDetails.aspx?details=15257,RAKIA,,UFZOnlineDirectory.aspx?cat=
AIRSERVE FZCO,UFZCompanyDetails.aspx?details=1748,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AIRSTREAM (FZE),UFZCompanyDetails.aspx?details=13298,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AIRTIME MANAGEMENT FZ LLC,UFZCompanyDetails.aspx?details=445,DUBAI MEDIA CITY,MEDIA,UFZOnlineDirectory.aspx?cat=MEDIA
AISAN TRADING,UFZCompanyDetails.aspx?details=2688,JEBEL ALI FREE ZONE,STATIONERY,UFZOnlineDirectory.aspx?cat=STATIONERY
AISHA CENTRAL AIR CONDITIONING EQUIPMENT MANUFACTURING - F.Z.E,UFZCompanyDetails.aspx?details=16577,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AISIN ASIA PTE. LTD MIDDLE EAST (BRANCH),UFZCompanyDetails.aspx?details=12953,DUBAI AIRPORT FREEZONE,AUTOMOBILES,UFZOnlineDirectory.aspx?cat=AUTOMOBILES
AIWA GULF FZE,UFZCompanyDetails.aspx?details=770,JEBEL ALI FREE ZONE,AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES
AJ EXPORT & IMPORT FZ-LLC,UFZCompanyDetails.aspx?details=14008,RAKIA,,UFZOnlineDirectory.aspx?cat=
AJANTA GENERAL TRADING - F.Z.C,UFZCompanyDetails.aspx?details=17104,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJCL FZE,UFZCompanyDetails.aspx?details=371,FUJAIRAH FREE ZONE,IMPORT / EXPORT,UFZOnlineDirectory.aspx?cat=IMPORT / EXPORT
AJHINKKYA FZE,UFZCompanyDetails.aspx?details=10725,RAK FREE TRADE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
"AJMAN GENERAL SERVICES & SUPPLIES CO.,LLC",UFZCompanyDetails.aspx?details=12736,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AJMAN HOLDING,UFZCompanyDetails.aspx?details=7513,OUTSIDE,ADVERTISING,UFZOnlineDirectory.aspx?cat=ADVERTISING
AJMAN INDEPENDENT STUDIOS LLC,UFZCompanyDetails.aspx?details=2616,DUBAI MEDIA CITY,MEDIA,UFZOnlineDirectory.aspx?cat=MEDIA
AJMAN LASER MARINE - F.Z.E,UFZCompanyDetails.aspx?details=16409,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJMAN MARINA FACILITIES MANAGEMENT - F.Z.C,UFZCompanyDetails.aspx?details=16492,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJMAN MARINA REAL ESTATE DEVELOPMENT - F.Z.C,UFZCompanyDetails.aspx?details=16493,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJMAN MARINE SERVICES LLC,UFZCompanyDetails.aspx?details=12737,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AJMAN SEWERAGE ( PRIVATE ) COMPANY LIMITED - F.Z.C,UFZCompanyDetails.aspx?details=16325,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJMAN SHIPPING & TRADING - L.L.C,UFZCompanyDetails.aspx?details=16535,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJMAN UNIVERSITY OF SCIENCE OF TECHNOLOGY,UFZCompanyDetails.aspx?details=7732,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AJMEER INTERNATIONAL PACKAGING (FZC),UFZCompanyDetails.aspx?details=9307,SAIF-ZONE,PERFUMES & COSMETICS,UFZOnlineDirectory.aspx?cat=PERFUMES & COSMETICS
AJMER ARABIAN PERFUMES & COSMETICS (FZC),UFZCompanyDetails.aspx?details=15564,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AJS INFLOW,UFZCompanyDetails.aspx?details=7859,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AJWA GROUP FOR FOOD INDUSTRIES MIDDLE EAST HOLDING FZCO,UFZCompanyDetails.aspx?details=3367,JEBEL ALI FREE ZONE,FOOD PRODUCTS - TRADERS & MANUFACTURERS,UFZOnlineDirectory.aspx?cat=FOOD PRODUCTS - TRADERS & MANUFACTURERS
AK BIR GENERAL TRADING F.Z.C,UFZCompanyDetails.aspx?details=16578,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AKA GLOBAL FZE,UFZCompanyDetails.aspx?details=7395,FUJAIRAH FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AKAITEL FZE,UFZCompanyDetails.aspx?details=13576,RAK FREE TRADE ZONE,,UFZOnlineDirectory.aspx?cat=
AKAMAI DUBAI,UFZCompanyDetails.aspx?details=11950,DUBAI INT. FINANCIAL CENTER,,UFZOnlineDirectory.aspx?cat=
AKBAR GULF TRAVELS (FZE),UFZCompanyDetails.aspx?details=9308,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AKBAR MOTORS FZD,UFZCompanyDetails.aspx?details=12262,DUBAI AUTO ZONE,,UFZOnlineDirectory.aspx?cat=
AKBAR VENTURES FZC,UFZCompanyDetails.aspx?details=10672,HAMRIYAH FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AKF TRADING FZ-LLC,UFZCompanyDetails.aspx?details=14842,RAKIA,,UFZOnlineDirectory.aspx?cat=
AKFA ALUMINUM AND PLASTIC FZE (DUBAI BRANCH),UFZCompanyDetails.aspx?details=12107,TECHNOPARK,,UFZOnlineDirectory.aspx?cat=
AKG ENGINEERING FZE,UFZCompanyDetails.aspx?details=14803,RAKIA,,UFZOnlineDirectory.aspx?cat=
AKI INTERNATIONAL FZE,UFZCompanyDetails.aspx?details=3688,JEBEL ALI FREE ZONE,CONSUMER GOODS,UFZOnlineDirectory.aspx?cat=CONSUMER GOODS
AKIBA MINING & METALS,UFZCompanyDetails.aspx?details=4653,DUBAI MULTI COMMODITIES CENTRE,,UFZOnlineDirectory.aspx?cat=
"AKIN, GUMP, STRAUSS, HAUER & FELD LLP",UFZCompanyDetails.aspx?details=11951,DUBAI INT. FINANCIAL CENTER,,UFZOnlineDirectory.aspx?cat=
AKKA MIDDLE EAST FZCO,UFZCompanyDetails.aspx?details=16253,DUBAI SILICON OASIS,,UFZOnlineDirectory.aspx?cat=
AKKAD HOLDING FZ.LLC,UFZCompanyDetails.aspx?details=2397,DUBAI MEDIA CITY,MANAGEMENT CONSULTANTS,UFZOnlineDirectory.aspx?cat=MANAGEMENT CONSULTANTS
AKMA PACKAGING INDUSTRIES LLC,UFZCompanyDetails.aspx?details=13786,RAKIA,,UFZOnlineDirectory.aspx?cat=
AKNAN INTERNATIONAL HOLDING (FZC),UFZCompanyDetails.aspx?details=15565,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AKRAM BHAI MOTORS FZD,UFZCompanyDetails.aspx?details=12202,DUBAI AUTO ZONE,,UFZOnlineDirectory.aspx?cat=
AKRON TRADE AND TRANSPORT.,UFZCompanyDetails.aspx?details=7196,FUJAIRAH FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AKROSS AVIATION (FZC),UFZCompanyDetails.aspx?details=15566,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AKSBRAN CORPORATION (FZC),UFZCompanyDetails.aspx?details=13224,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AKSHAY SOFTWARE TECHNOLOGIES LIMITED,UFZCompanyDetails.aspx?details=2267,DUBAI INTERNET CITY,SOFTWARE DEVELOPMENT,UFZOnlineDirectory.aspx?cat=SOFTWARE DEVELOPMENT
AKSHI INVESTMENT LIMITED (BRANCH),UFZCompanyDetails.aspx?details=11600,DUBAI AIRPORT FREEZONE,,UFZOnlineDirectory.aspx?cat=
AKTIN GROUP INC - F.Z.C,UFZCompanyDetails.aspx?details=16366,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AKZO NOBEL CAR REFINISHES MIDDLE EAST FZE,UFZCompanyDetails.aspx?details=1553,JEBEL ALI FREE ZONE,PAINTS & COATINGS,UFZOnlineDirectory.aspx?cat=PAINTS & COATINGS
AKZO NOBEL POWDER COATINGS FZE,UFZCompanyDetails.aspx?details=7860,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL - ARAA FZE,UFZCompanyDetails.aspx?details=14211,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL - DAS ENGINEERS - F.Z.E,UFZCompanyDetails.aspx?details=16579,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL - JAZEERAH FZE,UFZCompanyDetails.aspx?details=10561,HAMRIYAH FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AL AADHAM TRADING FZCO,UFZCompanyDetails.aspx?details=7861,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AALAM AL MUTATAWER TRADING FZCO,UFZCompanyDetails.aspx?details=7862,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AANI TRADING FZCO,UFZCompanyDetails.aspx?details=7863,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ABBAS TRAVELS,UFZCompanyDetails.aspx?details=12505,OUTSIDE,TRAVEL AGENCY,UFZOnlineDirectory.aspx?cat=TRAVEL AGENCY
AL ABDEEN INVESTMENTS EST. (FZE),UFZCompanyDetails.aspx?details=6299,SAIF-ZONE,FOOD PROCESSING & PACKAGING,UFZOnlineDirectory.aspx?cat=FOOD PROCESSING & PACKAGING
AL ABDULLA TRADING FZE,UFZCompanyDetails.aspx?details=13522,RAK FREE TRADE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ABKARR TRADING COMPANY,UFZCompanyDetails.aspx?details=6212,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ABOOD TRADING FZE,UFZCompanyDetails.aspx?details=6197,JEBEL ALI FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AL ABRAR TRADING FZCO,UFZCompanyDetails.aspx?details=7898,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ADEEB INFORMATION TECHNOLOGY LLC,UFZCompanyDetails.aspx?details=7899,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ADIVA INTERNATIONAL FZ-LLC,UFZCompanyDetails.aspx?details=14501,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL AFRAH TRADING FZCO,UFZCompanyDetails.aspx?details=6213,JEBEL ALI FREE ZONE,AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES
AL AFZAL TEXTILE LTD.,UFZCompanyDetails.aspx?details=6300,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AL AHD - F.Z.C,UFZCompanyDetails.aspx?details=16580,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AHLIA CONVERTING INDUSTRIES CO.(FZE),UFZCompanyDetails.aspx?details=15567,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AL AHLIA GENERAL INSURANCE BROKERS LLC,UFZCompanyDetails.aspx?details=12458,OUTSIDE,MOTOR AND GENERAL INSURANCE,UFZOnlineDirectory.aspx?cat=MOTOR AND GENERAL INSURANCE
AL AHRAM CORPORATION,UFZCompanyDetails.aspx?details=5434,DUBAI MEDIA CITY,MARKETING SERVICES,UFZOnlineDirectory.aspx?cat=MARKETING SERVICES
AL AHRAMAT BUILDING CONTRACTING LLC,UFZCompanyDetails.aspx?details=14170,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL AIFARI TRADING EST.,UFZCompanyDetails.aspx?details=6273,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AIN COMPUTERS & TELECOMMUNICATIONS FZCO,UFZCompanyDetails.aspx?details=2356,JEBEL ALI FREE ZONE,COMPUTER PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=COMPUTER PARTS & ACCESSORIES
AL AIN JEWELLERS,UFZCompanyDetails.aspx?details=5177,DUBAI MULTI COMMODITIES CENTRE,,UFZOnlineDirectory.aspx?cat=
AL AJNEH GENERAL TRADING FZCO,UFZCompanyDetails.aspx?details=6158,JEBEL ALI FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AL AJNEH TRADING FZCO,UFZCompanyDetails.aspx?details=7900,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AJYAL TRADING COMPANY,UFZCompanyDetails.aspx?details=205,JEBEL ALI FREE ZONE,HOUSEHOLD APPLIANCES,UFZOnlineDirectory.aspx?cat=HOUSEHOLD APPLIANCES
AL AKABI FZCO,UFZCompanyDetails.aspx?details=7901,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AKHAWAIN TRADING FZCO,UFZCompanyDetails.aspx?details=7902,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ALI CONSTRUCTION & DEVELOPMENT CO FZ LLC,UFZCompanyDetails.aspx?details=14770,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL ALLIANCE CHEM FZC,UFZCompanyDetails.aspx?details=6784,HAMRIYAH FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ALMANIAH HEAVY EQUIPMENT RENTAL LLC,UFZCompanyDetails.aspx?details=14792,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL AMAL CO. FOR CLAY PRODUCTS LTD.,UFZCompanyDetails.aspx?details=584,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AL AMAN TRADING FZCO,UFZCompanyDetails.aspx?details=665,JEBEL ALI FREE ZONE,"ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS","UFZOnlineDirectory.aspx?cat=ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS"
AL AMANAH TRADING FZE,UFZCompanyDetails.aspx?details=14649,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL AMEEN BROKERS,UFZCompanyDetails.aspx?details=4893,DUBAI MULTI COMMODITIES CENTRE,,UFZOnlineDirectory.aspx?cat=
AL AMEEN TRADING FZCO,UFZCompanyDetails.aspx?details=6191,JEBEL ALI FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AL AMERAT REAL ESTATE DEVELOPMENT & CONSULT. (FZC),UFZCompanyDetails.aspx?details=13199,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AL AMRY GROUP,UFZCompanyDetails.aspx?details=12746,OUTSIDE,,UFZOnlineDirectory.aspx?cat=
AL AMYAL AVIATION SERVICES (FZE),UFZCompanyDetails.aspx?details=9310,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AL ANDAL TRADING FZCO,UFZCompanyDetails.aspx?details=6186,JEBEL ALI FREE ZONE,"ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS","UFZOnlineDirectory.aspx?cat=ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS"
AL ANDALOUS SANITARY & ELECTRICAL INSTALLATION WORKS (L.L.C.),UFZCompanyDetails.aspx?details=7903,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ANDALOUS SANITARY & ELECTRICAL INSTALLATION WORKS (L.L.C.),UFZCompanyDetails.aspx?details=686,JEBEL ALI FREE ZONE,SANITARY WARE,UFZOnlineDirectory.aspx?cat=SANITARY WARE
AL ANDALUS USED CARS TRADING F.Z.E,UFZCompanyDetails.aspx?details=16581,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ANFAS TRADING COMPANY,UFZCompanyDetails.aspx?details=7907,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ANI GROUP TRADING,UFZCompanyDetails.aspx?details=3427,JEBEL ALI FREE ZONE,AUTOMOBILE SPARE PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=AUTOMOBILE SPARE PARTS & ACCESSORIES
AL ANQA (FZE),UFZCompanyDetails.aspx?details=9311,SAIF-ZONE,,UFZOnlineDirectory.aspx?cat=
AL ANSARI EXCHANGE,UFZCompanyDetails.aspx?details=5365,DUBAI INTERNET CITY,BANKING AUTOMATION,UFZOnlineDirectory.aspx?cat=BANKING AUTOMATION
AL ANSARI EXCHANGE CO ( DUBAI BRANCH),UFZCompanyDetails.aspx?details=10805,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AOUN CAPITAL GROUP FZ-LLC,UFZCompanyDetails.aspx?details=15169,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL AOUN TRADING CO. LTD.,UFZCompanyDetails.aspx?details=11203,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AQARIYA NEWS PUBLISHING FZ LLC,UFZCompanyDetails.aspx?details=4082,DUBAI MEDIA CITY,PUBLISHERS,UFZOnlineDirectory.aspx?cat=PUBLISHERS
AL AQMAR AL ARBAA TRADING FZE,UFZCompanyDetails.aspx?details=7904,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL AQSA TRADING FZCO,UFZCompanyDetails.aspx?details=2954,JEBEL ALI FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AL AQUILA RUBBER BELTINGS INC.,UFZCompanyDetails.aspx?details=2676,JEBEL ALI FREE ZONE,POWER SUPPLY & SYSTEMS,UFZOnlineDirectory.aspx?cat=POWER SUPPLY & SYSTEMS
AL AQUILA RUBBER BELTINGS INC.,UFZCompanyDetails.aspx?details=2677,JEBEL ALI FREE ZONE,POWER SUPPLY & SYSTEMS,UFZOnlineDirectory.aspx?cat=POWER SUPPLY & SYSTEMS
AL ARABIYA NEWS CHANNEL FZ LLC,UFZCompanyDetails.aspx?details=2958,DUBAI MEDIA CITY,BROADCASTING,UFZOnlineDirectory.aspx?cat=BROADCASTING
AL ARABIYYA LEL TAQA FZ-LLC,UFZCompanyDetails.aspx?details=14140,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL AREEN BUILDING CONTRACTING FZE,UFZCompanyDetails.aspx?details=15005,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL ARRAB CONTRACTING CO LLC,UFZCompanyDetails.aspx?details=15006,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL ARRAB ELECTROMECHANICAL ENGINEERING,UFZCompanyDetails.aspx?details=15007,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL ARRAB RESTAURANT (BRANCH),UFZCompanyDetails.aspx?details=16198,DUBAI SILICON OASIS,,UFZOnlineDirectory.aspx?cat=
AL ASADEL GLOBAL TRADING FZE,UFZCompanyDetails.aspx?details=7176,FUJAIRAH FREE ZONE,MANAGEMENT CONSULTANTS,UFZOnlineDirectory.aspx?cat=MANAGEMENT CONSULTANTS
AL ASALAH UTOMOBILE - F Z E,UFZCompanyDetails.aspx?details=16582,AJMAN FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ASAYEL IMPORTING & TRADING CO.,UFZCompanyDetails.aspx?details=2102,JEBEL ALI FREE ZONE,SAFETY EQUIPMENT & PRODUCTS,UFZOnlineDirectory.aspx?cat=SAFETY EQUIPMENT & PRODUCTS
AL ASDEQAA LAB ENGG.EQUIP. TRADING FZE,UFZCompanyDetails.aspx?details=14817,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL ASEEL TRADING FZCO,UFZCompanyDetails.aspx?details=3371,JEBEL ALI FREE ZONE,COMPUTER ASSEMBLING & TRADING,UFZOnlineDirectory.aspx?cat=COMPUTER ASSEMBLING & TRADING
AL ASHAWES TRADING COMPANY,UFZCompanyDetails.aspx?details=6179,JEBEL ALI FREE ZONE,GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING
AL ASHHAB TRADING FZE,UFZCompanyDetails.aspx?details=7908,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ASHWAQ FIRE SAFETY & PROTECTION ENGINEERING SERVICES,UFZCompanyDetails.aspx?details=14091,RAKIA,,UFZOnlineDirectory.aspx?cat=
AL ASMAA TRADING COMPANY,UFZCompanyDetails.aspx?details=6183,JEBEL ALI FREE ZONE,FOOD PRODUCTS - TRADERS & MANUFACTURERS,UFZOnlineDirectory.aspx?cat=FOOD PRODUCTS - TRADERS & MANUFACTURERS
AL ASSALI TRADING FZE,UFZCompanyDetails.aspx?details=6263,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ASTEQRAA TRADING COMPANY,UFZCompanyDetails.aspx?details=7909,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ATHAB TRADING COMPANY,UFZCompanyDetails.aspx?details=6209,JEBEL ALI FREE ZONE,,UFZOnlineDirectory.aspx?cat=
AL ATHMAN IMPORT & EXPORT EST,UFZCompanyDetails.aspx?details=15424,RAKIA,,UFZOnlineDirectory.aspx?cat=
